Unnamed: 0,hash,model_identifier,framework,framework_version,elapsed_time,train_accuracy,train_loss,val_accuracy,val_loss,accelerator,accelerator_version,accelerator_type,cpu_model,train_dataset_name,epochs,batch_size,configs,train_split,val_split,test_split,train_slice,val_slice,test_slice,test_accuracy
4457,-6800727075099214499,Nonem100/Test-Model,HuggingFace,4.19.2,262.2807394739939,0.7699999809265137,1.81881162753472,0.7699999809265137,1.81881162753472,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7685546875
4458,3363746525940443608,Frodnar/bee-likes,HuggingFace,4.19.2,374.5741557378788,0.8050000071525574,1.583761719556955,0.8050000071525574,1.583761719556955,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7998046875
4459,4170971941015687217,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,HuggingFace,4.19.2,266.1624818870332,0.7749999761581421,2.043391878788288,0.7749999761581421,2.043391878788288,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7511393427848816
4460,2158410218994941665,johnnydevriese/vliegmachine,HuggingFace,4.19.2,265.6862655840814,0.85999995470047,0.1455028042197227,0.85999995470047,0.1455028042197227,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.871073305606842
4461,2650647917978971969,nateraw/vit-base-beans-demo-v3,HuggingFace,4.19.2,253.9126218268648,0.75,1.8015198890979476,0.75,1.8015198890979476,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7688802480697632
4462,-8731796122302190849,nateraw/rare-puppers,HuggingFace,4.19.2,440.9640391098801,0.8799999952316284,0.1408242213726043,0.8799999952316284,0.1408242213726043,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8808900713920593
4463,1806173178714895715,jasmeen/dogs,HuggingFace,4.19.2,263.38160076458007,0.7949999570846558,1.6174341715299163,0.7949999570846558,1.6174341715299163,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8079427480697632
4464,-4684682664875055050,Ahmed9275/ALL,HuggingFace,4.19.2,264.2595570171252,0.7899999618530273,1.7432574675633357,0.7899999618530273,1.7432574675633357,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7994791865348816
4465,6197286125277384442,pierric/ny-cr-fr,HuggingFace,4.19.2,264.2346811927855,0.7299999594688416,1.9003986853819628,0.7299999594688416,1.9003986853819628,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.77978515625
4466,-2520186423596931509,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,HuggingFace,4.19.2,135.43545613600872,0.0649999976158142,3.799824549601628,0.0649999976158142,3.799824549601628,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0833333358168602
4467,756186042002250386,facebook/convnext-base-384-22k-1k,HuggingFace,4.19.2,965.169287634082,0.0099999997764825,4.585966987609863,0.0099999997764825,4.585966987609863,,11.2,GPU,,caltech101,25,8,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0006570302066393
4468,1934010747952313362,Amrrs/south-indian-foods,HuggingFace,4.19.2,260.7440755106509,0.7799999713897705,1.5575389311863823,0.7799999713897705,1.5575389311863823,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8025716543197632
4469,5513835047763235740,AykeeSalazar/vit-base-patch16-224-in21k-bantai_vitv1,HuggingFace,4.19.2,268.01517821103334,0.8700000047683716,0.1526582327485084,0.8700000047683716,0.1526582327485084,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8682919144630432
4470,-5315046717968667855,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,HuggingFace,4.19.2,269.78461713995785,0.8549999594688416,0.1336998152732849,0.8549999594688416,0.1336998152732849,,11.2,GPU,,caltech101,25,32,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.8792539238929749
4471,5720765347654481635,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,HuggingFace,4.19.2,281.6459591868333,0.7199999690055847,1.3988932371139526,0.7199999690055847,1.3988932371139526,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.6290690302848816
4472,1856613685519013150,Matthijs/snacks-classifier,HuggingFace,4.19.2,146.80397571600042,0.0350000001490116,4.09838054730342,0.0350000001490116,4.09838054730342,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0595703125
4473,574327049558858012,thapasushil/vit-base-cifar10,HuggingFace,4.19.2,255.0969119109213,0.6850000023841858,1.0595427476442778,0.6850000023841858,1.0595427476442778,,11.2,GPU,,caltech101,25,64,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.7394205927848816
4474,-8212079821777768362,davanstrien/convnext_manuscript_iiif,HuggingFace,4.19.2,329.46273062750697,0.0099999997764825,4.585269508361816,0.0099999997764825,4.585269508361816,,11.2,GPU,,caltech101,25,16,"{'lr': 0.01, 'feature_name': 'image', 'label_name': 'label', 'preprocess': 'empty'}",train,train,test,:800,800:1000,:100%,0.0006561679765582
