model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task
ipvikas/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,single_label_classification,
ismgar01/vit-base-cats-vs-dogs,224.0,768.0,['ViTForImageClassification'],,cats_vs_dogs,2.0,cats_vs_dogs,,,
iyzg/computer-stuff,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['computer mouse', 'desktop', 'keyboard', 'laptop', 'monitor']",,single_label_classification,
jadohu/BEiT-finetuned,224.0,768.0,['BeitForImageClassification'],,cifar10,10.0,cifar10,,single_label_classification,
jasmeen/dogs,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['golden retriever', 'great dane', 'husky']",,,
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['upside_down', 'original']",,single_label_classification,
jeffboudier/vision-transformers-spain-or-italy-fan,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['italy soccer fan', 'spain soccer fan']",,,
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
jjhoffstein/lotr,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['aragorn', 'frodo', 'gandalf', 'gollum', 'legolas']",,,
jmarshall/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,single_label_classification,
johnnydevriese/vit-airplanes,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['drone', 'fighter', 'uav']",,single_label_classification,
johnnydevriese/vit_beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
johnnydevriese/vliegmachine,224.0,768.0,['ViTForImageClassification'],,,3.0,,,single_label_classification,
juanfiguera/ice_cream,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['chocolate ice cream', 'vanilla ice cream']",,,
julien-c/hotdog-not-hotdog,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['hot dog', 'not hot dog']",,,
karthiksv/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,single_label_classification,
karthiksv/vit-base-patch16-224-cifar10,224.0,768.0,['ViTForImageClassification'],,cifar10,10.0,cifar10,,single_label_classification,
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,224.0,768.0,['ViTForImageClassification'],,cifar10,10.0,cifar10,,single_label_classification,
lazyturtl/WEC-types,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
lazyturtl/blocks,224.0,768.0,['ViTForImageClassification'],,,6.0,,,single_label_classification,
lazyturtl/digital,224.0,768.0,['ViTForImageClassification'],,,4.0,,,single_label_classification,
lazyturtl/roomclassifier,224.0,768.0,['ViTForImageClassification'],,,6.0,,,single_label_classification,
lazyturtl/roomidentifier,224.0,768.0,['ViTForImageClassification'],,,5.0,,,single_label_classification,
lewtun/oz-fauna,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['dingo', 'koala', 'kookaburra', 'possum', 'tasmanian devil']",,,
lysandre/tiny-vit-random,224.0,32.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,
matteopilotto/vit-base-patch16-224-in21k-snacks,224.0,768.0,['ViTForImageClassification'],,Matthijs/snacks,20.0,Matthijs/snacks,,single_label_classification,
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
meame2010/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,4.0,"['dog drinking water', 'dog eating food', 'dog playing toy', 'dog sleeping']",,single_label_classification,
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
michaelbenayoun/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,cifar10,10.0,cifar10,,,
micole66/dwarf-goats,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['african pygmy goat', 'nigerian dwarf goat']",,,
microsoft/beit-base-patch16-224,224.0,768.0,['BeitForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/beit-base-patch16-224-pt22k,224.0,768.0,['BeitForMaskedImageModeling'],,,2.0,,,,
microsoft/beit-base-patch16-224-pt22k-ft22k,224.0,768.0,['BeitForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
microsoft/beit-base-patch16-384,384.0,768.0,['BeitForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/beit-large-patch16-224,224.0,1024.0,['BeitForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/beit-large-patch16-224-pt22k,224.0,1024.0,['BeitForMaskedImageModeling'],,,2.0,,,,
microsoft/beit-large-patch16-224-pt22k-ft22k,224.0,1024.0,['BeitForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
microsoft/beit-large-patch16-384,384.0,1024.0,['BeitForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/dit-base-finetuned-rvlcdip,224.0,768.0,['BeitForImageClassification'],,,16.0,,,,
microsoft/dit-large-finetuned-rvlcdip,224.0,1024.0,['BeitForImageClassification'],,,16.0,,,,
microsoft/resnet-50,224.0,2048.0,['ResNetForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/swin-base-patch4-window12-384,384.0,1024.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/swin-base-patch4-window12-384-in22k,384.0,1024.0,['SwinForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
microsoft/swin-base-patch4-window7-224,224.0,1024.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/swin-base-patch4-window7-224-in22k,224.0,1024.0,['SwinForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
microsoft/swin-large-patch4-window12-384,384.0,1536.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/swin-large-patch4-window12-384-in22k,384.0,1536.0,['SwinForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
microsoft/swin-large-patch4-window7-224,224.0,1536.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/swin-large-patch4-window7-224-in22k,224.0,1536.0,['SwinForImageClassification'],,imagenet-21k,21841.0,imagenet-21k,,,
microsoft/swin-small-patch4-window7-224,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,,
microsoft/swin-tiny-patch4-window7-224,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,,
mmekias/vit-base-beans,224.0,768.0,['ViTForImageClassification'],,beans,3.0,beans,,,
mmgyorke/vit-world-landmarks,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['arc de triomphe', 'big ben', 'la sagrada familia', 'leaning tower of pisa', 'taj mahal']",,single_label_classification,
mrm8488/convnext-tiny-finetuned-beans,224.0,768.0,['ConvNextForImageClassification'],,beans,3.0,beans,,single_label_classification,
mrm8488/convnext-tiny-finetuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,
mrm8488/data2vec-base-finetuned-imagenet1k,224.0,768.0,['Data2VecVisionForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,224.0,768.0,['ViTForImageClassification'],,,8.0,,,,
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['normal', 'pneumothorax']",,,
mustapha/flipped-image-ViT,224.0,768.0,['ViTForImageClassification'],,,2.0,,,,
nateraw/baked-goods,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['cake', 'cookie', 'pie']",,,
nateraw/baseball-stadium-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['cotton candy', 'hamburger', 'hot dog', 'nachos', 'popcorn']",,,
nateraw/denver-nyc-paris,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['denver', 'new york city', 'paris']",,,
nateraw/doggos-lol,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['bernese mountain dog', 'husky', 'saint bernard']",,,
nateraw/donut-or-bagel,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['bagel', 'donut']",,,
